HTTP method,resource,route,ISO mesage,"Required 
by FSPIOP","Required 
by ISO 20022",FSPIOP Field,ISO20022 Mapping
,,,,TRUE,,conversionTerms.sourceAmount.amount,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.ActiveOrHistoricCurrencyAndAmount
,,,,TRUE,,conversionTerms.targetAmount.currency,CdtTrfTxInf.IntrBkSttlmAmt.Ccy
,,,,,,,
PUT,fxquotes,\{ID},pacs.092.001,,,,
,,,,TRUE,,condition,CdtTrfTxInf.VrfctnOfTerms.Sh256Sgntr
,,,,TRUE,,conversionTerms.conversionId,CdtTrfTxInf.VrfctnOfTerms.PmtId.InstrId
,,,,TRUE,,conversionTerms.determiningTransferId,CdtTrfTxInf.PmtId.TxId
,,,,TRUE,,conversionTerms.initiatingFsp,CdtTrfTxInf.Dbtr.FinInstnId.Othr.Id
,,,,TRUE,,conversionTerms.counterPartyFsp,CdtTrfTxInf.Cdtr.FinInstnId.Othr.Id
,,,,TRUE,,conversionTerms.amountType,CdtTrfTxInf.InstrForCdtrAgt.InstrInf
,,,,TRUE,,conversionTerms.sourceAmount.currency,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.Ccy
,,,,TRUE,,conversionTerms.sourceAmount.amount,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.ActiveOrHistoricCurrencyAndAmount
,,,,TRUE,,conversionTerms.targetAmount.currency,CdtTrfTxInf.IntrBkSttlmAmt.Ccy
,,,,TRUE,,conversionTerms.targetAmount.amount,CdtTrfTxInf.IntrBkSttlmAmt.ActiveCurrencyAndAmount
,,,,TRUE,,conversionTerms.expiration,GrpHdr.PmtInstrXpryDtTm
,,,,,,,
PUT,fxquotes,\{ID}\error,pacs.002.001.15,,,,
,,,,TRUE,,errorInformation.errorCode,TxInfAndSts.StsRsnInf.Rsn.Cd
,,,,,,errorInformation.errorDescription,getDescriptionfromCode(TxInfAndSts.StsRsnInf.Rsn.Cd)
,,,,,,,
POST,fxTransfers,,pacs.009.001.12,,,,
,,,,TRUE,,expiration,GrpHdr.PmtInstrXpryDtTm
,,,,TRUE,,commitRequestId,CdtTrfTxInf.PmtId.TxId
,,,,TRUE,,determiningTransferId,CdtTrfTxInf.PmtId.EndToEndId
,,,,TRUE,,initiatingFsp,CdtTrfTxInf.Dbtr.FinInstnId.Othr.Id
,,,,TRUE,,counterPartyFsp,CdtTrfTxInf.Cdtr.FinInstnId.Othr.Id
,,,,TRUE,,sourceAmount.currency,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.Ccy
,,,,TRUE,,sourceAmount.amount,CdtTrfTxInf.UndrlygCstmrCdtTrf.InstdAmt.ActiveOrHistoricCurrencyAndAmount
,,,,TRUE,,targetAmount.currency,CdtTrfTxInf.IntrBkSttlmAmt.Ccy
,,,,TRUE,,targetAmount.amount,CdtTrfTxInf.IntrBkSttlmAmt.ActiveCurrencyAndAmount
,,,,TRUE,,condition,CdtTrfTxInf.VrfctnOfTerms.Sh256Sgntr
,,,,,,,
PUT,fxTransfers,\{ID},pacs.002.001.15,,,,
,,,,TRUE,,fulfilment,TxInfAndSts.ExctnConf
,,,,TRUE,,completedTimestamp,TxInfAndSts.PrcgDt.DtTm
,,,,TRUE,,transferState,toFSPIOPTransferState(TxInfAndSts.TxSts)
,,,,,,,
PUT,fxTransfers,\{ID}\error,pacs.002.001.15,,,,
,,,,TRUE,,errorInformation.errorCode,TxInfAndSts.StsRsnInf.Rsn.Cd
,,,,,,errorInformation.errorDescription,getDescriptionfromCode(TxInfAndSts.StsRsnInf.Rsn.Cd)
,,,,,,,
PATCH,fxTransfers,\{ID},pacs.002.001.15,,,,
,,,,TRUE,,completedTimestamp,TxInfAndSts.PrcgDt.DtTm 
,,,,TRUE,,transferState,toFSPIOPTransferState(TxInfAndSts.TxSts)
